boro,on,from,to,entire_length,comment
2,Southern Boulevard,Crames/Del Valle Square,Westchester Avenue,
2,Webster Avenue,188th Street,193rd Street.,
2,West 225th Street,Broadway,Sedgwick Avenue/Kingsbridge Road West,
2,West 230th Street between Broadway and Major Deegan Expressway,
2,West Fordham Road,,,1,
2,Westchester Avenue,,,1,
2,White Plains Road,Brady Avenue,Boston Road,
2,Williamsbridge Road,Westchester Avenue,Eastchester Road,
3,?Downtown Brooklyn,Area bounded by Tillary Street, Atlantic Avenue, Flatbush Avenue and Clinton Street, all inclusive,
3,3rd Avenue,101st Street,65th Street,
3,4th Avenue,85th Street,87th Street,
3,?5th Avenue,Flatbush Avenue,16th Street,38th Street,95th Street/4th Avenue,
3,7th Avenue,Union Street,Prospect Avenue,
3,13th Avenue,39th Street,86th Street,
3,18th Avenue,60th Street,86th Street,
3,86th Street,3rd Avenue,Stillwell Avenue,
3,87th Street,4th Avenue,5th Avenue,
3,Ashland Place,Hanson Place,Dekalb Avenue,
3,Atlantic Avenue,Furman Street,Washington Avenue,
3,Avenue J,Coney Island,East 16 Street,
3,Avenue M,Coney Island Avenue,Ocean Avenue,
3,Avenue U,86th Street,Stuart Street,
3,Avenue U,Ryder Street,East 57th Street,
3,Bay Parkway,60th Street,Shore Parkway,
3,Bedford Avenue,Metropolitan Avenue,North 12th Street,
3,Brighton Beach Avenue,Ocean Parkway,Brighton 15 Street,
3,Broadway,Kent Avenue,Gates Avenue,
3,Cadman Plaza West,,,1,
3,Church Avenue,Rockaway Parkway,McDonald Avenue,
3,Cropsey Avenue,Bay Parkway,20th Avenue,
3,Court Street,Tillary Street,Hamilton Avenue,
3,Flatbush Avenue,Manhattan Bridge,Belt Parkway,
3,Fulton Street,Boerum Place,Flatbush Avenue,
3,Fulton Street,Flatbush Avenue,Greene Avenue,
3,Fulton Street,Classon Avenue,Troy Avenue/Lewis Avenue,
3,Graham Avenue,Broadway,Boerum Street,
3,Grand Street,Bushwick Avenue,Union Avenue,
3,Hanson Place,Ashland Place,South Elliot Place,
3,Kings Highway,Bay Parkway,Ocean Avenue,
3,Knickerbocker Avenue,Myrtle Avenue,Jefferson Street,
3,Liberty Avenue,Ruby Street,North Conduit Avenue,
3,Livingston Street,Court Street,Flatbush Avenue,
3,Manhattan Avenue,Driggs Avenue,Dupont Street,
3,Montague Street,Court Street,Hicks Street,
3,Myrtle Avenue,Flatbush Avenue,Classon Avenue,
3,Nostrand Avenue,Halsey Street,Sheepshead Bay,
3,Old Fulton Street,,,1,
3,Pennsylvania Avenue,Linden Boulevard,Flatlands Avenue,
3,Pitkin Avenue,Stone Avenue,Eastern Parkway,
3,Rockaway Parkway,Farragut Road,Flatlands Avenue,
3,Sheepshead Bay Road,Avenue Z,Shore Parkway,
3,Smith Street,Fulton Street,Hamilton Avenue,
3,Union Street,4th Avenue,Grand Army Plaza,
3,Utica Avenue,Flatbush Avenue,Atlantic Avenue,
3,Vanderbilt Avenue,Atlantic Avenue,Grand Army Plaza,
4,?Queens Fashion Center area bounded by Queens Boulevard, 59th Avenue, 94th Street, 92nd Street, and 55th Avenue, all inclusive,
4,?The area bounded by Northern Boulevard, Sanford Avenue, Prince Street and Union Street, all inclusive,
4,20th Avenue,132nd Street,Parsons Boulevard,
4,23rd Avenue,37th Street,29th Street,
4,31st Street,21st Avenue,Northern Boulevard,
4,40th Road,Prince Street,Main Street,
4,41st Avenue,213th Street,214th Place,
4,63rd Drive,Alderton Street,Queens Boulevard,
4,71st Avenue,Queens Boulevard,Burns Street,
4,Archer Avenue,Sutphin Boulevard,Merrick Boulevard,
4,Austin Street,Ascan Avenue,Yellowstone Boulevard,
4,Bell Boulevard,Northern Boulevard,35th Avenue,
4,Cross Bay Boulevard,Rockaway Boulevard,165th Ave,
4,Ditmars Boulevard,Steinway Street,29th Street,
4,Greenpoint Avenue,Queens Boulevard,44th Street/47th Avenue,
4,Fresh Pond Road,Myrtle Avenue,Metropolitan Avenue,
4,Hillside Avenue,Van Wyck Expressway,180th Street,
4,Jamaica Avenue,Eldert Lane,169th Street,
4,Junction Boulevard,Roosevelt Avenue,34th Avenue,
4,Liberty Avenue,110th Street,124th Street,
4,Main Street,Northern Boulevard,Union Turnpike,
4,Metropolitan Avenue,Flushing Avenue,Jamaica Avenue,
4,Myrtle Avenue,Fresh Pond Road,Wyckoff Avenue,
4,Northern Boulevard,,,1,
4,North Conduit Avenue,,,1,
4,Parsons Boulevard,Hillside Avenue,Archer Avenue,
4,Queens Boulevard,,,1,
4,Queens Plaza East,Jackson Avenue,Northern Boulevard,
4,Queens Plaza North/South,Crescent Street,Jackson Avenue,
4,Roosevelt Avenue,Queens Boulevard,Union Street,
4,South Conduit Avenue,,,1,
4,Steinway Street,Ditmars Boulevard,Northern Boulevard,
4,Sutphin Boulevard,Hillside Avenue,94th Avenue,
4,Union Turnpike,Main Street,Langdale Street,
4,Woodhaven Boulevard,Rockaway Boulevard,Queens Boulevard
 

?Borough Hall area bounded by Victory Boulevard, Wall Street, Richmond Terrace, St. Marks Place, all inclusive.,
5,Amboy Road,Richmond Avenue,Richmond Road,
5,Arthur Kill Road,Richmond Avenue,Richmond Hill Road/Richmond Road,
5,Barrett Avenue,Decker Avenue,Forest Avenue,
5,Bay Street,Broad Street,Saint George Ferry Terminal,
5,Castleton Avenue,Clove Road,North Burgher Avenue,
5,Clove Road,Victory Boulevard,Narrows Road South,
5,Crystal Avenue,Forest Avenue,Victory Boulevard,
5,Decker Avenue,Forest Avenue,Post Avenue,
5,Forest Hill Road,Richmond Avenue,Rockland Avenue,
5,Forest Avenue,Staten Island Expressway,Victory Boulevard,
5,Giffords Lane,Amboy Road,Katan Avenue,
5,Hylan Boulevard,Guyon Avenue,Stueben Street,
5,Marsh Avenue,Platinum Avenue,Richmond Hill Road,
5,New Dorp Lane,Richmond Road,Mill Road,
5,Platinum Avenue,Forest Hill Road,Richmond Hill Road,
5,Port Richmond Avenue,Forest Avenue,Richmond Terrace,
5,Richmond Avenue,Victory Boulevard,Oakdale Street,
5,Richmond Hill Road,Richmond Avenue,Richmond Road,
5,Richmond Road,West Fingerboard Road,Richmond Hill Road,
5,Rockland Avenue,Forest Hill Road,Richmond Road,
5,Seguine Avenue,Amboy Road,Florence Place,
5,South Avenue,Forest Avenue,West Shore Expressway,
5,Victory Boulevard,West Shore Expressway,Slosson Avenue,
5,Woolley Avenue,Victory Boulevard,Willow Brook Road,
